Original_X,Original_Y,Original_Z,Noisy_X,Noisy_Y,Noisy_Z,Filtered_X,Filtered_Y,Filtered_Z
-0.00216438,0.017913,-0.00100842,-0.00208936,0.018764,-0.00104244,0.0100002,0.00468423,0
-0.000128849,0.0260909,-0.00100753,-0.000124145,0.0250892,-0.00103389,0.0100002,0.00468423,0
0.00176152,0.0336826,-0.00100718,0.00102968,0.0319569,-0.00105071,0.0100002,0.00468423,0
0.00427921,0.0437861,-0.0010072,0.00440222,0.0438651,-0.0009895,0.0100002,0.00468423,0
0.00744851,0.056496,-0.00100791,0.00761704,0.0587482,-0.00101217,0.0100002,0.00468423,0
0.0111886,0.0714845,-0.00101048,0.0112062,0.0712369,-0.00100467,0.0100002,0.00468423,0
0.0154719,0.0886816,-0.00100873,0.0161268,0.0871056,-0.000967367,0.0100002,0.00468423,0
0.0197187,0.105569,-0.0010064,0.0201962,0.104086,-0.00101094,0.0100002,0.00468423,0
0.0248759,0.125462,-0.00100716,0.0253128,0.12152,-0.000964252,0.0100002,0.00468423,0
0.0289629,0.140807,-0.00100716,0.0279021,0.135464,-0.000975577,0.0100002,0.00468423,0
0.0378793,0.174235,-0.00101099,0.0367884,0.18215,-0.00105908,0.0100002,0.00468423,0
0.042314,0.190837,-0.0010123,0.0434353,0.19853,-0.00104508,0.0100002,0.00468423,0
0.051255,0.224377,-0.00100761,0.0531014,0.232592,-0.00101981,0.0652526,0.209225,0
0.0579567,0.2495,-0.00100743,0.0598463,0.238045,-0.000958836,0.0652526,0.209225,0
0.0646842,0.274703,-0.00101097,0.0656028,0.279915,-0.00104801,0.0652526,0.209225,0
0.0713851,0.299799,-0.00101257,0.0707979,0.304169,-0.000993372,0.0652526,0.209225,0
0.0780678,0.324841,-0.00100759,0.0795118,0.336113,-0.000980057,0.0652526,0.209225,0
0.0847737,0.349964,-0.00100744,0.0866341,0.355289,-0.00105441,0.0652526,0.209225,0
0.0915053,0.375167,-0.00101102,0.0887569,0.376318,-0.00101154,0.0652526,0.209225,0
0.0982094,0.400259,-0.00101251,0.0940025,0.399193,-0.00100022,0.0652526,0.209225,0
0.10262,0.416779,-0.00100851,0.106286,0.407933,-0.000961853,0.122786,0.412,0
0.111606,0.450424,-0.00100746,0.113931,0.450448,-0.000989074,0.122786,0.412,0
0.116082,0.467071,-0.00100944,0.119949,0.461437,-0.0010457,0.122786,0.412,0
0.125426,0.500734,-0.00101126,0.130614,0.514344,-0.00102501,0.122786,0.412,0
0.130174,0.517197,-0.00100878,0.13072,0.547993,-0.00104399,0.122786,0.412,0
0.140265,0.550685,-0.00100749,0.140037,0.566883,-0.00099516,0.122786,0.412,0
0.14556,0.567178,-0.00100945,0.141329,0.552226,-0.00103707,0.122786,0.412,0
0.156923,0.600326,-0.0010105,0.155855,0.605563,-0.00102429,0.122786,0.412,0
0.165939,0.624766,-0.00100877,0.163161,0.645724,-0.000967653,0.18443,0.611853,0
