Original_X,Original_Y,Original_Z,Noisy_X,Noisy_Y,Noisy_Z,Filtered_X,Filtered_Y,Filtered_Z
-0.00744621,-0.0035619,-0.00101074,-0.00713494,-0.00345725,-0.00106067,-0.0076049,-0.0035754,0
-0.00737824,-0.0032628,-0.00101281,-0.00744393,-0.00327814,-0.00102025,-0.00728013,-0.00344483,0
-0.00717081,-0.00234765,-0.00100676,-0.00703616,-0.00227718,-0.00102319,-0.00737784,-0.00292776,0
-0.0066355,-9.6899e-05,-0.00100686,-0.00661179,-9.89345e-05,-0.000974363,-0.00689755,-0.00107985,0
-0.00573942,0.00352511,-0.00101094,-0.00566684,0.00350275,-0.00096942,-0.00584281,0.0023558,0
-0.0045292,0.00840444,-0.00100966,-0.00455838,0.00847326,-0.000966511,-0.00449901,0.00842464,0
-0.0031064,0.0141271,-0.00100902,-0.00298914,0.0135151,-0.00100692,-0.00292916,0.0134662,0
-0.00216438,0.017913,-0.00100842,-0.00208936,0.018764,-0.00104244,-0.00202875,0.018715,0
-0.000128849,0.0260909,-0.00100753,-0.000124145,0.0250892,-0.00103389,-6.27689e-05,0.02504,0
0.00102601,0.0307305,-0.00100734,0.00102968,0.0319569,-0.00105071,0.00109188,0.0319075,0
0.00427921,0.0437861,-0.0010072,0.00440222,0.0438651,-0.0009895,0.00332132,0.0408304,0
0.00630505,0.0519114,-0.00100756,0.00609263,0.0507155,-0.00104253,0.0061571,0.0506654,0
0.0111886,0.0714845,-0.00101048,0.0112062,0.0712369,-0.00100467,0.0112731,0.0711861,0
0.0154719,0.0886816,-0.00100873,0.0141556,0.0807792,-0.00105854,0.0142236,0.0807279,0
0.0197187,0.105569,-0.0010064,0.0201962,0.104086,-0.00101094,0.0166564,0.0949714,0
0.0269361,0.133206,-0.00100728,0.0262103,0.127583,-0.00100948,0.0253859,0.121468,0
0.0311548,0.14903,-0.00100717,0.0299197,0.146986,-0.00102663,0.0279768,0.135411,0
0.0378793,0.174235,-0.00101099,0.0367884,0.18215,-0.00105908,0.0360296,0.163781,0
0.0445763,0.199335,-0.00101256,0.0434353,0.19853,-0.00104508,0.0435175,0.198474,0
0.0489822,0.215856,-0.00100861,0.0531014,0.232592,-0.00101981,0.0474017,0.21284,0
0.0579567,0.2495,-0.00100743,0.0598463,0.238045,-0.000958836,0.0599333,0.237987,0
0.0646842,0.274703,-0.00101097,0.0656028,0.279915,-0.00104801,0.0642358,0.260428,0
